"id","date","season","location","availablecompounds","comment","nolaps","nolapsplanned","tracklength"
"109","2019-06-30","2019","Spielberg","A3,A4,A6,I,W","null","71","71","4318"
"110","2019-07-14","2019","Silverstone","A2,A3,A4,I,W","null","52","52","5891"
"111","2019-07-28","2019","Hockenheim","A3,A4,A6,I,W","Wet race","64","67","4574"
"112","2019-08-04","2019","Budapest","A3,A4,A6,I,W","null","70","70","4381"
"113","2019-09-01","2019","Spa","A2,A3,A4,I,W","null","44","44","7004"
"114","2019-09-08","2019","Monza","A3,A4,A6,I,W","null","53","53","5793"
"115","2019-09-22","2019","Singapore","A4,A6,A7,I,W","null","61","61","5063"
"116","2019-09-29","2019","Sochi","A3,A4,A6,I,W","null","53","53","5848"
"117","2019-10-13","2019","Suzuka","A2,A3,A4,I,W","null","52","53","5807"
"118","2019-10-27","2019","MexicoCity","A3,A4,A6,I,W","null","71","71","4304"
"119","2019-11-03","2019","Austin","A3,A4,A6,I,W","null","56","56","5513"
"120","2019-11-17","2019","SaoPaulo","A2,A3,A4,I,W","null","71","71","4309"
"121","2019-12-01","2019","YasMarina","A4,A6,A7,I,W","null","55","55","5554"
