"race_id","driver_id","team","teamcolor","enginemanufacturer","gridposition","status","resultposition","completedlaps","speedtrap"
"5","22","LotusF1","#E2B007","Renault","5","F","8","65","322.8"
"5","11","Ferrari","#DC0000","Ferrari","6","F","7","65","331"
"5","5","Ferrari","#DC0000","Ferrari","7","F","6","66","331.8"
"5","10","McLaren","#FF8700","Mercedes","8","F","11","65","334.1"
"5","9","Williams","#192c4e","Mercedes","9","F","13","65","342.3"
"5","7","ForceIndia","#F596C8","Mercedes","10","F","10","65","334.7"
"5","16","ForceIndia","#F596C8","Mercedes","11","F","9","65","338.2"
"5","8","ToroRosso","#469BFF","Renault","12","F","14","65","336.7"
"5","20","Sauber","#9B0000","Ferrari","13","F","16","65","328.3"
"5","4","McLaren","#FF8700","Mercedes","14","F","12","65","334.3"
"5","12","RedBull","#1E41FF","Renault","15","F","4","66","330.7"
"5","13","Sauber","#9B0000","Ferrari","16","F","17","65","329.3"
"5","17","Marussia","#6E0000","Ferrari","17","F","19","64","322.1"
"5","18","Marussia","#6E0000","Ferrari","18","F","18","64","322"
"5","19","Caterham","#006400","Renault","19","F","20","64","322.5"
"5","14","Caterham","#006400","Renault","20","DNF","21","34","311.7"
"5","6","ToroRosso","#469BFF","Renault","21","DNF","22","24","333"
"5","21","LotusF1","#E2B007","Renault","22","F","15","65","326.6"
"6","3","Mercedes","#00D2BE","Mercedes","1","F","1","78","285.4"
"6","1","Mercedes","#00D2BE","Mercedes","2","F","2","78","290"
"6","2","RedBull","#1E41FF","Renault","3","F","3","78","287.2"
"6","12","RedBull","#1E41FF","Renault","4","DNF","20","5","275.4"
"6","5","Ferrari","#DC0000","Ferrari","5","F","4","78","282.5"
"6","11","Ferrari","#DC0000","Ferrari","6","F","12","77","284.5"
"6","6","ToroRosso","#469BFF","Renault","7","DNF","17","50","285.5"
"6","4","McLaren","#FF8700","Mercedes","8","F","10","77","284.9"
"6","8","ToroRosso","#469BFF","Renault","9","DNF","19","10","279"
"6","16","ForceIndia","#F596C8","Mercedes","10","DNF","21","0","null"
"6","7","ForceIndia","#F596C8","Mercedes","11","F","5","77","287.8"
"6","10","McLaren","#FF8700","Mercedes","12","F","6","77","287.5"
"6","15","Williams","#192c4e","Mercedes","13","DNF","16","55","284.8"
"6","22","LotusF1","#E2B007","Renault","14","F","8","77","280.4"
"6","9","Williams","#192c4e","Mercedes","16","F","7","77","286.2"
"6","20","Sauber","#9B0000","Ferrari","17","DNF","15","59","283.8"
"6","13","Sauber","#9B0000","Ferrari","18","DNF","18","23","279.7"
"6","17","Marussia","#6E0000","Ferrari","19","F","14","75","279.7"
"6","14","Caterham","#006400","Renault","20","F","13","75","276.7"
"6","18","Marussia","#6E0000","Ferrari","21","F","9","77","280.7"
"6","19","Caterham","#006400","Renault","22","F","11","77","280.2"
"7","3","Mercedes","#00D2BE","Mercedes","1","F","2","70","312.2"
"7","1","Mercedes","#00D2BE","Mercedes","2","DNF","17","46","331.6"
"7","12","RedBull","#1E41FF","Renault","3","F","3","70","334.5"
"7","15","Williams","#192c4e","Mercedes","4","F","7","70","341.9"
"7","9","Williams","#192c4e","Mercedes","5","DNF","12","69","347.1"
"7","2","RedBull","#1E41FF","Renault","6","F","1","70","328.8"
"7","5","Ferrari","#DC0000","Ferrari","7","F","6","70","330.2"
"7","6","ToroRosso","#469BFF","Renault","8","F","8","70","331.7"
"7","10","McLaren","#FF8700","Mercedes","9","F","4","70","335"
"7","11","Ferrari","#DC0000","Ferrari","10","F","10","70","329.7"
"7","7","ForceIndia","#F596C8","Mercedes","11","F","5","70","338.5"
"7","4","McLaren","#FF8700","Mercedes","12","F","9","70","338.3"
"7","16","ForceIndia","#F596C8","Mercedes","13","DNF","11","69","335.8"
"7","22","LotusF1","#E2B007","Renault","14","DNF","15","59","326.4"
"7","8","ToroRosso","#469BFF","Renault","15","DNF","16","47","334.1"
"7","13","Sauber","#9B0000","Ferrari","16","F","13","69","323"
"7","21","LotusF1","#E2B007","Renault","17","DNF","19","21","317.3"
"7","17","Marussia","#6E0000","Ferrari","18","DNF","21","0","null"
"7","18","Marussia","#6E0000","Ferrari","19","DNF","22","0","null"
"7","19","Caterham","#006400","Renault","20","DNF","20","7","259.3"
"7","14","Caterham","#006400","Renault","21","DNF","18","23","312.4"
"7","20","Sauber","#9B0000","Ferrari","22","DNF","14","64","324.9"
"8","9","Williams","#192c4e","Mercedes","1","F","4","71","321.4"
"8","15","Williams","#192c4e","Mercedes","2","F","3","71","314.7"
"8","3","Mercedes","#00D2BE","Mercedes","3","F","1","71","310.3"
"8","5","Ferrari","#DC0000","Ferrari","4","F","5","71","307.3"
"8","2","RedBull","#1E41FF","Renault","5","F","8","71","316.1"
"8","4","McLaren","#FF8700","Mercedes","6","F","7","71","315.6"
"8","8","ToroRosso","#469BFF","Renault","7","DNF","22","24","312.5"
"8","11","Ferrari","#DC0000","Ferrari","8","F","10","71","304.4"
"8","1","Mercedes","#00D2BE","Mercedes","9","F","2","71","318.3"
"8","7","ForceIndia","#F596C8","Mercedes","10","F","9","71","314.2"
"8","10","McLaren","#FF8700","Mercedes","11","F","11","71","316.6"
"8","12","RedBull","#1E41FF","Renault","12","DNF","21","34","312.5"
"8","21","LotusF1","#E2B007","Renault","13","F","12","70","310.1"
"8","6","ToroRosso","#469BFF","Renault","14","DNF","20","59","306.1"
"8","16","ForceIndia","#F596C8","Mercedes","15","F","6","71","320.1"
"8","13","Sauber","#9B0000","Ferrari","16","F","13","70","305.7"
"8","20","Sauber","#9B0000","Ferrari","17","F","19","69","307.4"
"8","18","Marussia","#6E0000","Ferrari","18","F","15","69","295.7"
"8","14","Caterham","#006400","Renault","19","F","16","69","307.2"
"8","19","Caterham","#006400","Renault","20","F","18","69","310"
"8","17","Marussia","#6E0000","Ferrari","21","F","17","69","301.8"
"8","22","LotusF1","#E2B007","Renault","22","F","14","70","305.2"
"9","3","Mercedes","#00D2BE","Mercedes","1","DNF","18","28","306.8"
"9","12","RedBull","#1E41FF","Renault","2","F","5","52","320.1"
"9","10","McLaren","#FF8700","Mercedes","3","F","4","52","308"
"9","7","ForceIndia","#F596C8","Mercedes","4","F","8","52","312.9"
"9","4","McLaren","#FF8700","Mercedes","5","F","7","52","324"
"9","1","Mercedes","#00D2BE","Mercedes","6","F","1","52","311.4"
"9","16","ForceIndia","#F596C8","Mercedes","7","F","11","51","321.8"
"9","2","RedBull","#1E41FF","Renault","8","F","3","52","315"
"9","8","ToroRosso","#469BFF","Renault","9","F","9","52","322"
"9","6","ToroRosso","#469BFF","Renault","10","F","10","51","322.6"
"9","22","LotusF1","#E2B007","Renault","11","F","12","51","312.8"
"9","18","Marussia","#6E0000","Ferrari","12","F","14","51","314.8"
"9","13","Sauber","#9B0000","Ferrari","13","F","13","51","317.4"
"9","15","Williams","#192c4e","Mercedes","14","F","2","52","329.5"
"9","9","Williams","#192c4e","Mercedes","15","DNF","21","0","127"
"9","5","Ferrari","#DC0000","Ferrari","16","F","6","52","324.2"
"9","17","Marussia","#6E0000","Ferrari","17","F","16","50","306.7"
"9","11","Ferrari","#DC0000","Ferrari","18","DNF","22","0","null"
"9","20","Sauber","#9B0000","Ferrari","19","DNF","20","9","323.8"
"9","21","LotusF1","#E2B007","Renault","20","F","17","49","312.5"
"9","19","Caterham","#006400","Renault","21","DNF","19","11","307.9"
"9","14","Caterham","#006400","Renault","22","F","15","50","313.1"
"10","3","Mercedes","#00D2BE","Mercedes","1","F","1","67","331.8"
"10","15","Williams","#192c4e","Mercedes","2","F","2","67","340.2"
"10","9","Williams","#192c4e","Mercedes","3","DNF","22","0","null"
"10","4","McLaren","#FF8700","Mercedes","4","F","9","66","333.6"
"10","2","RedBull","#1E41FF","Renault","5","F","6","67","334.6"
"10","12","RedBull","#1E41FF","Renault","6","F","4","67","332.9"
"10","5","Ferrari","#DC0000","Ferrari","7","F","5","67","327.7"
"10","8","ToroRosso","#469BFF","Renault","8","DNF","20","44","331"
"10","7","ForceIndia","#F596C8","Mercedes","9","F","7","67","333.2"
"10","16","ForceIndia","#F596C8","Mercedes","10","F","10","66","341"
"10","10","McLaren","#FF8700","Mercedes","11","F","8","67","332.3"
"10","11","Ferrari","#DC0000","Ferrari","12","F","11","66","332.9"
"10","6","ToroRosso","#469BFF","Renault","13","F","13","66","335.7"
"10","22","LotusF1","#E2B007","Renault","14","DNF","21","26","316.3"
"10","13","Sauber","#9B0000","Ferrari","15","DNF","19","47","330.1"
"10","20","Sauber","#9B0000","Ferrari","16","F","14","66","329.1"
"10","18","Marussia","#6E0000","Ferrari","17","F","15","66","326"
"10","21","LotusF1","#E2B007","Renault","18","F","12","66","330.1"
"10","14","Caterham","#006400","Renault","19","F","16","65","328.4"
"10","1","Mercedes","#00D2BE","Mercedes","20","F","3","67","345.2"
"10","17","Marussia","#6E0000","Ferrari","21","F","17","65","322.1"
"10","19","Caterham","#006400","Renault","22","F","18","65","325.5"
"11","3","Mercedes","#00D2BE","Mercedes","1","F","4","70","313.4"
"11","12","RedBull","#1E41FF","Renault","2","F","7","70","307.9"
"11","15","Williams","#192c4e","Mercedes","3","F","8","70","315.6"
"11","2","RedBull","#1E41FF","Renault","4","F","1","70","310.7"
"11","5","Ferrari","#DC0000","Ferrari","5","F","2","70","300.7"
"11","9","Williams","#192c4e","Mercedes","6","F","5","70","306.3"
"11","10","McLaren","#FF8700","Mercedes","7","F","10","70","309.1"
"11","6","ToroRosso","#469BFF","Renault","8","F","9","70","300.3"
"11","7","ForceIndia","#F596C8","Mercedes","9","DNF","20","14","303.7"
"11","8","ToroRosso","#469BFF","Renault","10","F","14","69","304.4"
"11","13","Sauber","#9B0000","Ferrari","11","F","11","70","304.2"
"11","16","ForceIndia","#F596C8","Mercedes","12","DNF","19","22","297.1"
"11","20","Sauber","#9B0000","Ferrari","13","DNF","17","32","296.8"
"11","22","LotusF1","#E2B007","Renault","14","DNF","21","10","291.8"
"11","18","Marussia","#6E0000","Ferrari","15","F","15","69","301.5"
"11","11","Ferrari","#DC0000","Ferrari","16","F","6","70","304.8"
"11","14","Caterham","#006400","Renault","17","DNF","18","24","293.9"
"11","17","Marussia","#6E0000","Ferrari","18","F","16","69","301.7"
"11","19","Caterham","#006400","Renault","19","DNF","22","7","302"
"11","21","LotusF1","#E2B007","Renault","20","F","13","70","302.9"
"11","4","McLaren","#FF8700","Mercedes","21","F","12","70","308.7"
"11","1","Mercedes","#00D2BE","Mercedes","22","F","3","70","314.3"
"12","3","Mercedes","#00D2BE","Mercedes","1","F","2","44","314.1"
"12","1","Mercedes","#00D2BE","Mercedes","2","DNF","19","38","302.8"
"12","12","RedBull","#1E41FF","Renault","3","F","5","44","312.3"
"12","5","Ferrari","#DC0000","Ferrari","4","F","7","44","309.7"
"12","2","RedBull","#1E41FF","Renault","5","F","1","44","312.4"
"12","15","Williams","#192c4e","Mercedes","6","F","3","44","310.5"
"12","4","McLaren","#FF8700","Mercedes","7","F","12","44","310.2"
"12","11","Ferrari","#DC0000","Ferrari","8","F","4","44","303.1"
"12","9","Williams","#192c4e","Mercedes","9","F","13","44","304.4"
"12","10","McLaren","#FF8700","Mercedes","10","F","6","44","311.5"
"12","8","ToroRosso","#469BFF","Renault","11","F","9","44","307.7"
"12","6","ToroRosso","#469BFF","Renault","12","F","11","44","304.7"
"12","16","ForceIndia","#F596C8","Mercedes","13","F","8","44","305.2"
"12","13","Sauber","#9B0000","Ferrari","14","F","14","44","298"
"12","22","LotusF1","#E2B007","Renault","15","DNF","20","33","304.3"
"12","18","Marussia","#6E0000","Ferrari","16","DNF","18","39","292.5"
"12","21","LotusF1","#E2B007","Renault","17","DNF","21","1","237.3"
"12","7","ForceIndia","#F596C8","Mercedes","18","F","10","44","311.2"
"12","17","Marussia","#6E0000","Ferrari","19","F","16","43","294.5"
"12","20","Sauber","#9B0000","Ferrari","20","F","15","44","304.3"
"12","23","Caterham","#006400","Renault","21","DNF","22","1","261.6"
"12","19","Caterham","#006400","Renault","22","F","17","43","290.4"
"13","1","Mercedes","#00D2BE","Mercedes","1","F","1","53","358.6"
"13","3","Mercedes","#00D2BE","Mercedes","2","F","2","53","331"
"13","15","Williams","#192c4e","Mercedes","3","F","4","53","360.8"
"13","9","Williams","#192c4e","Mercedes","4","F","3","53","356.5"
"13","4","McLaren","#FF8700","Mercedes","5","F","10","53","349.2"
"13","10","McLaren","#FF8700","Mercedes","6","F","8","53","355.1"
"13","5","Ferrari","#DC0000","Ferrari","7","DNF","21","28","347"
"13","12","RedBull","#1E41FF","Renault","8","F","6","53","339.9"
"13","2","RedBull","#1E41FF","Renault","9","F","5","53","362.1"
"13","16","ForceIndia","#F596C8","Mercedes","10","F","7","53","353.1"
"13","11","Ferrari","#DC0000","Ferrari","11","F","9","53","338.9"
"13","6","ToroRosso","#469BFF","Renault","12","F","13","53","357.6"
"13","7","ForceIndia","#F596C8","Mercedes","13","F","12","53","343"
"13","13","Sauber","#9B0000","Ferrari","14","F","15","52","329.1"
"13","20","Sauber","#9B0000","Ferrari","15","F","19","51","346.1"
"13","21","LotusF1","#E2B007","Renault","16","F","14","52","334.2"
"13","22","LotusF1","#E2B007","Renault","17","F","16","52","338.6"
"13","14","Caterham","#006400","Renault","18","F","17","52","337.6"
"13","18","Marussia","#6E0000","Ferrari","19","F","18","52","331.8"
"13","17","Marussia","#6E0000","Ferrari","20","DNF","22","5","333"
"13","8","ToroRosso","#469BFF","Renault","21","F","11","53","354.2"
"13","19","Caterham","#006400","Renault","22","F","20","51","334.8"
"14","1","Mercedes","#00D2BE","Mercedes","1","F","1","60","301.9"
"14","3","Mercedes","#00D2BE","Mercedes","2","DNF","21","13","271.6"
"14","2","RedBull","#1E41FF","Renault","3","F","3","60","296.6"
"14","12","RedBull","#1E41FF","Renault","4","F","2","60","287.2"
"14","5","Ferrari","#DC0000","Ferrari","5","F","4","60","291.2"
"14","9","Williams","#192c4e","Mercedes","6","F","5","60","306.2"
"14","11","Ferrari","#DC0000","Ferrari","7","F","8","60","294.7"
"14","15","Williams","#192c4e","Mercedes","8","F","11","60","299"
"14","4","McLaren","#FF8700","Mercedes","9","F","10","60","302.9"
"14","8","ToroRosso","#469BFF","Renault","10","F","14","60","295"
"14","10","McLaren","#FF8700","Mercedes","11","DNF","18","52","295.4"
"14","6","ToroRosso","#469BFF","Renault","12","F","6","60","302.1"
"14","7","ForceIndia","#F596C8","Mercedes","13","F","9","60","303.8"
"14","20","Sauber","#9B0000","Ferrari","14","DNF","20","17","278.9"
"14","16","ForceIndia","#F596C8","Mercedes","15","F","7","60","300.8"
"14","22","LotusF1","#E2B007","Renault","16","F","13","60","292.5"
"14","13","Sauber","#9B0000","Ferrari","17","DNF","19","40","283"
"14","21","LotusF1","#E2B007","Renault","18","F","12","60","289.9"
"14","18","Marussia","#6E0000","Ferrari","19","F","16","60","283"
"14","14","Caterham","#006400","Renault","20","DNF","22","0","null"
"14","17","Marussia","#6E0000","Ferrari","21","F","17","59","276.2"
"14","19","Caterham","#006400","Renault","22","F","15","60","289.2"
"15","3","Mercedes","#00D2BE","Mercedes","1","F","2","44","273.6"
"15","1","Mercedes","#00D2BE","Mercedes","2","F","1","44","270.5"
"15","15","Williams","#192c4e","Mercedes","3","F","6","44","264.1"
"15","9","Williams","#192c4e","Mercedes","4","F","7","44","260.6"
"15","5","Ferrari","#DC0000","Ferrari","5","DNF","22","2","166.3"
"15","2","RedBull","#1E41FF","Renault","6","F","4","44","270.2"
"15","4","McLaren","#FF8700","Mercedes","7","F","14","43","261.4"
"15","10","McLaren","#FF8700","Mercedes","8","F","5","44","262.4"
"15","12","RedBull","#1E41FF","Renault","9","F","3","44","268.1"
"15","11","Ferrari","#DC0000","Ferrari","10","F","12","43","260.9"
"15","16","ForceIndia","#F596C8","Mercedes","11","F","10","43","255.7"
"15","8","ToroRosso","#469BFF","Renault","12","F","11","43","268.3"
"15","7","ForceIndia","#F596C8","Mercedes","13","F","8","44","257.5"
"15","13","Sauber","#9B0000","Ferrari","14","DNF","21","40","245.7"
"15","20","Sauber","#9B0000","Ferrari","15","F","13","43","249.1"
"15","22","LotusF1","#E2B007","Renault","16","F","15","43","255.5"
"15","19","Caterham","#006400","Renault","17","F","17","43","257.4"
"15","18","Marussia","#6E0000","Ferrari","18","DNF","20","41","248.7"
"15","14","Caterham","#006400","Renault","19","F","19","43","248.4"
"15","6","ToroRosso","#469BFF","Renault","20","F","9","44","271.4"
"15","17","Marussia","#6E0000","Ferrari","21","F","18","43","246.6"
"15","21","LotusF1","#E2B007","Renault","22","F","16","43","255.5"
"16","1","Mercedes","#00D2BE","Mercedes","1","F","1","53","306.7"
"16","3","Mercedes","#00D2BE","Mercedes","2","F","2","53","322"
"16","15","Williams","#192c4e","Mercedes","3","F","3","53","318.8"
"16","10","McLaren","#FF8700","Mercedes","4","F","4","53","307"
"16","8","ToroRosso","#469BFF","Renault","5","F","14","52","321.7"
"16","2","RedBull","#1E41FF","Renault","6","F","7","53","328.3"
"16","5","Ferrari","#DC0000","Ferrari","7","F","6","53","309.7"
"16","11","Ferrari","#DC0000","Ferrari","8","F","9","53","318.5"
"16","6","ToroRosso","#469BFF","Renault","9","F","13","53","302.2"
"16","12","RedBull","#1E41FF","Renault","10","F","8","53","307.1"
"16","4","McLaren","#FF8700","Mercedes","11","F","5","53","325.6"
"16","16","ForceIndia","#F596C8","Mercedes","12","F","10","53","324.5"
"16","20","Sauber","#9B0000","Ferrari","13","F","15","52","313.2"
"16","13","Sauber","#9B0000","Ferrari","14","F","16","52","318.5"
"16","22","LotusF1","#E2B007","Renault","15","F","17","52","305.9"
"16","19","Caterham","#006400","Renault","16","F","19","51","296"
"16","7","ForceIndia","#F596C8","Mercedes","17","F","12","53","318.3"
"16","9","Williams","#192c4e","Mercedes","18","F","11","53","322.8"
"16","14","Caterham","#006400","Renault","19","DNF","20","21","299.7"
"16","17","Marussia","#6E0000","Ferrari","20","DNF","21","9","287.5"
"16","21","LotusF1","#E2B007","Renault","21","F","18","52","322"
"17","3","Mercedes","#00D2BE","Mercedes","1","F","2","56","316.7"
"17","1","Mercedes","#00D2BE","Mercedes","2","F","1","56","334.5"
"17","15","Williams","#192c4e","Mercedes","3","F","5","56","334.4"
"17","9","Williams","#192c4e","Mercedes","4","F","4","56","322.6"
"17","2","RedBull","#1E41FF","Renault","5","F","3","56","325.3"
"17","5","Ferrari","#DC0000","Ferrari","6","F","6","56","331.1"
"17","4","McLaren","#FF8700","Mercedes","7","F","8","56","327.9"
"17","11","Ferrari","#DC0000","Ferrari","8","F","13","55","327.3"
"17","13","Sauber","#9B0000","Ferrari","9","DNF","18","0","307.6"
"17","21","LotusF1","#E2B007","Renault","10","F","9","56","331.5"
"17","16","ForceIndia","#F596C8","Mercedes","11","DNF","17","1","312.7"
"17","10","McLaren","#FF8700","Mercedes","12","F","12","55","335.9"
"17","7","ForceIndia","#F596C8","Mercedes","13","DNF","16","16","318.7"
"17","6","ToroRosso","#469BFF","Renault","14","F","10","56","334.7"
"17","20","Sauber","#9B0000","Ferrari","15","F","14","55","316.1"
"17","22","LotusF1","#E2B007","Renault","16","F","11","55","332.5"
"17","8","ToroRosso","#469BFF","Renault","17","F","15","55","327.4"
"17","12","RedBull","#1E41FF","Renault","18","F","7","56","337"
"18","3","Mercedes","#00D2BE","Mercedes","1","F","1","71","318.8"
"18","1","Mercedes","#00D2BE","Mercedes","2","F","2","71","331.1"
"18","9","Williams","#192c4e","Mercedes","3","F","3","71","318.3"
"18","15","Williams","#192c4e","Mercedes","4","F","10","70","322.2"
"18","10","McLaren","#FF8700","Mercedes","5","F","4","71","326.3"
"18","12","RedBull","#1E41FF","Renault","6","F","5","71","320.8"
"18","4","McLaren","#FF8700","Mercedes","7","F","9","71","322.4"
"18","5","Ferrari","#DC0000","Ferrari","8","F","6","71","322.7"
"18","2","RedBull","#1E41FF","Renault","9","DNF","18","39","321"
"18","11","Ferrari","#DC0000","Ferrari","10","F","7","71","323.6"
"18","20","Sauber","#9B0000","Ferrari","11","F","14","70","322.2"
"18","7","ForceIndia","#F596C8","Mercedes","12","F","8","71","317.4"
"18","13","Sauber","#9B0000","Ferrari","13","F","16","70","311.6"
"18","22","LotusF1","#E2B007","Renault","14","F","17","63","314.3"
"18","6","ToroRosso","#469BFF","Renault","15","F","13","70","325.8"
"18","21","LotusF1","#E2B007","Renault","16","F","12","70","327.4"
"18","8","ToroRosso","#469BFF","Renault","17","F","11","70","334.4"
"18","16","ForceIndia","#F596C8","Mercedes","18","F","15","70","323.9"
"19","3","Mercedes","#00D2BE","Mercedes","1","F","14","54","318.4"
"19","1","Mercedes","#00D2BE","Mercedes","2","F","1","55","315.6"
"19","15","Williams","#192c4e","Mercedes","3","F","3","55","337.7"
"19","9","Williams","#192c4e","Mercedes","4","F","2","55","334.9"
"19","8","ToroRosso","#469BFF","Renault","5","DNF","20","14","324.2"
"19","10","McLaren","#FF8700","Mercedes","6","F","5","55","317.8"
"19","11","Ferrari","#DC0000","Ferrari","7","F","10","55","311.2"
"19","5","Ferrari","#DC0000","Ferrari","8","F","9","55","323.3"
