"race_id","position","driver_id","q1laptime","q2laptime","q3laptime","speedtrap"
"74","2","11","92.259","90.926","90.121","323.8"
"74","3","27","91.92","90.931","90.541","319.6"
"74","4","2","92.416","91.061","90.595","319.9"
"74","5","15","92.254","90.803","90.758","325.9"
"74","6","34","92.527","91.651","91.478","324.1"
"74","7","33","92.838","91.848","91.582","313.3"
"74","8","7","92.586","91.778","91.607","320.7"
"74","9","16","92.768","91.484","91.658","324.3"
"74","10","5","93.049","92.01","91.704","311.3"
"74","11","9","92.267","92.034","null","323.6"
"74","12","30","92.576","92.1","null","317.9"
"74","13","36","93","92.307","null","326.2"
"74","14","25","92.65","92.402","null","319.4"
"74","15","38","92.547","92.558","null","318.4"
"74","16","22","93.308","null","null","320.8"
"74","17","4","93.434","null","null","322"
"74","18","31","93.483","null","null","316"
"74","19","19","93.97","null","null","311.2"
"74","20","12","null","null","null","156.1"
"75","1","1","89.047","87.819","87.319","307.9"
"75","2","15","89.332","88.543","87.651","308.3"
"75","3","12","89.352","88.225","87.791","306.3"
"75","4","2","89.475","88.935","88.306","301.3"
"75","5","27","89.181","88.747","88.332","297.3"
"75","6","11","89.163","89.079","88.498","311.6"
"75","7","34","90.115","89.199","89.111","303.6"
"75","8","16","89.696","89.343","89.26","307.6"
"75","9","9","90.352","89.687","89.48","301.2"
"75","10","5","90.525","89.749","90.687","298.1"
"75","11","33","90.654","89.778","null","296.3"
"75","12","7","90.252","89.879","null","296.1"
"75","13","4","90.774","89.972","null","300.2"
"75","14","30","90.516","90.022","null","297.1"
"75","15","25","90.565","90.413","null","295.2"
"75","16","22","90.849","null","null","296.5"
"75","17","38","91.317","null","null","295.7"
"75","18","36","91.409","null","null","301"
"75","19","19","91.597","null","null","299"
"75","20","31","91.885","null","null","297.1"
"76","1","1","94.822","93.437","93.108","330.8"
"76","2","12","95.42","94.103","93.347","325.9"
"76","3","15","95.309","93.769","93.568","328.7"
"76","4","2","95.991","94.495","93.577","321.8"
"76","5","11","95.649","93.84","93.577","324.8"
"76","6","27","94.899","94.716","93.658","322.8"
"76","7","34","95.849","95.113","94.647","328.6"
"76","8","25","95.517","94.899","94.852","320.9"
"76","9","5","95.712","95.046","95.007","310.7"
"76","10","16","96.358","94.789","95.148","330.7"
"76","11","9","95.603","95.155","null","326.1"
"76","12","8","96.073","95.529","null","319.8"
"76","13","33","96.286","95.641","null","314.8"
"76","14","22","96.835","95.87","null","323.5"
"76","15","7","95.74","null","null","319.8"
"76","16","19","96.842","null","null","321.8"
"76","17","36","96.868","null","null","323.7"
"76","18","39","96.889","null","null","319.8"
"76","19","31","97.179","null","null","322.5"
"76","20","4","97.394","null","null","324.4"
"77","1","12","77.665","76.87","76.488","348"
"77","2","27","77.63","76.524","76.574","345.7"
"77","3","1","77.518","77.035","76.934","351.5"
"77","4","15","77.578","77.161","76.958","350.1"
"77","5","11","78.148","77.534","77.238","348.1"
"77","6","34","78.336","77.827","77.437","355.6"
"77","7","2","78.208","77.631","77.447","346.1"
"77","8","7","78.322","77.792","77.466","343.2"
"77","9","25","78.405","77.753","77.794","342.3"
"77","10","16","78.02","77.868","77.807","354.6"
"77","11","9","78.57","78.099","null","348"
"77","12","36","78.902","79.159","null","347.8"
"77","13","39","78.683","null","null","345.9"
"77","14","5","77.71","null","null","344.4"
"77","15","33","78.578","null","null","335.9"
"77","16","19","79.176","null","null","347"
"77","17","31","79.333","null","null","347.4"
"77","18","4","79.443","null","null","349.2"
"77","19","22","79.473","null","null","348.4"
"78","1","15","69.452","68.638","68.322","330.9"
"78","2","12","69.643","68.494","68.36","329.9"
"78","3","11","69.405","69.116","68.538","332.3"
"78","4","27","69.82","69.05","68.925","323.7"
"78","5","2","69.828","69.533","69.33","324.5"
"78","6","16","70.145","69.76","69.598","332.5"
"78","7","5","70.172","69.593","69.617","316.2"
"78","8","7","70.078","69.726","69.703","319.2"
"78","9","25","70.227","69.768","69.805","320.2"
"78","10","9","69.789","69.612","69.841","330.4"
"78","11","34","70.168","69.83","null","332.7"
"78","12","22","70.148","69.879","null","326.3"
"78","13","33","70.286","70.116","null","315.5"
"78","14","4","70.521","70.154","null","325.2"
"78","15","39","70.625","null","null","322"
"78","16","31","70.678","null","null","321.2"
"78","17","38","70.686","null","null","322.7"
"78","18","36","70.776","null","null","328.3"
"78","19","19","70.875","null","null","320.9"
"78","20","1","null","null","null","323.3"
"79","1","15","97.356","96.822","96.231","329"
"79","2","1","97.391","96.742","96.403","326.3"
"79","3","12","97.817","97.023","96.777","325.6"
"79","4","2","98.016","97.583","96.959","322.7"
"79","5","11","97.453","97.302","96.985","324.5"
"79","6","27","98.021","97.777","97.328","322.2"
"79","7","7","98.781","98.138","98.282","320.1"
"79","8","16","98.601","98.359","98.374","331.8"
"79","9","34","98.896","98.392","98.397","328.5"
"79","10","9","98.629","98.565","98.55","329.4"
"79","11","5","98.82","98.636","null","315.8"
"79","12","25","98.81","98.725","null","319.1"
"79","13","33","98.777","98.808","null","316.3"
"79","14","4","99.395","99.298","null","324.2"
"79","15","36","99.503","99.646","null","327.9"
"79","16","22","99.516","null","null","322.5"
"79","17","38","99.724","null","null","318.3"
"79","18","31","99.93","null","null","321"
"79","19","19","99.994","null","null","321.2"
"79","20","39","100.471","null","null","314.2"
"80","1","1","82.824","82.051","81.164","318.7"
"80","2","11","83.096","82.507","81.828","321.3"
"80","3","12","83.348","81.944","81.838","320.5"
"80","4","27","83.483","82.416","81.879","312.5"
"80","5","2","83.494","82.897","82.152","311.1"
"80","6","4","83.909","83.3","83.187","314.8"
"80","7","22","83.671","83.468","83.339","316.1"
"80","8","7","83.782","83.544","83.532","309.9"
"80","9","25","83.529","83.061","83.577","310.4"
"80","10","15","83.686","82.089","null","317.8"
"80","11","5","83.597","83.692","null","309.8"
"80","12","33","84.073","83.853","null","308"
"80","13","16","84.344","84.005","null","323.7"
"80","14","36","84.464","84.23","null","312.9"
"80","15","34","84.503","84.786","null","323.3"
"80","16","39","84.532","null","null","314.9"
"80","17","19","84.556","null","null","316.5"
"80","18","40","84.636","null","null","315.7"
"80","19","41","84.922","null","null","311.2"
"80","20","38","85.295","null","null","312.3"
"81","1","12","89.06","88.341","87.958","322.8"
"81","2","11","88.951","88.515","88.101","327.1"
"81","3","15","89.275","88.794","88.124","324"
"81","4","1","89.396","88.458","88.22","325.3"
"81","5","2","89.552","88.962","88.398","320.7"
"81","6","38","90.121","89.836","89.329","322.5"
"81","7","4","89.594","89.623","89.358","322"
"81","8","7","90.26","89.187","89.57","318.2"
"81","9","34","90.338","90.009","89.874","326.5"
"81","10","25","89.893","89.802","89.986","320.6"
"81","11","39","90.412","90.105","null","320.4"
"81","12","16","90.218","90.156","null","326"
"81","13","5","90.53","90.212","null","314.2"
"81","14","33","90.479","90.525","null","310.7"
"81","15","27","89.374","null","null","314"
"81","16","22","90.53","null","null","324.7"
"81","17","19","91.063","null","null","323.1"
"81","18","41","91.414","null","null","319.2"
"81","19","40","91.42","null","null","326.5"
"81","20","36","91.503","null","null","320.3"
"82","1","12","92.171","92.385","91.095","331.1"
"82","2","11","92.474","92.286","91.182","327.7"
"82","3","15","92.921","92.063","91.625","329.6"
"82","4","1","93.283","91.914","91.675","327.4"
"82","5","27","92.932","92.809","91.796","321.9"
"82","6","2","93.877","92.688","91.948","321.9"
"82","7","7","93.545","92.494","92.532","324.8"
"82","8","16","93.464","92.931","92.758","327.8"
"82","9","25","93.315","92.97","92.819","323.6"
"82","10","22","93.238","92.524","92.855","328.1"
"82","11","4","93.359","92.986","null","327.6"
"82","12","34","93.585","93.057","null","328.2"
"82","13","5","93.428","93.232","null","325.3"
"82","14","33","93.824","93.505","null","324.2"
"82","15","39","94.013","93.795","null","325.3"
"82","16","41","94.062","null","null","320.3"
"82","17","38","94.101","null","null","322.7"
"82","18","36","94.285","null","null","321.5"
"82","19","40","94.454","null","null","325.3"
"82","20","19","94.914","null","null","324.3"
"83","1","12","102.762","103.015","101.498","309.4"
"83","2","1","102.693","102.676","101.677","318"
"83","3","15","103.355","102.679","101.837","315.7"
"83","4","2","102.857","103.482","101.911","316.6"
"83","5","27","102.642","102.901","101.994","315.4"
"83","6","11","102.538","102.51","102.49","309.3"
"83","7","34","103.021","102.967","102.523","329"
"83","8","16","103.992","103.366","102.547","316.7"
"83","9","7","103.746","103.232","103.066","312.1"
"83","10","25","103.426","103.464","103.351","319.2"
"83","11","36","104.359","103.585","null","318.4"
"83","12","41","104.261","103.886","null","320"
"83","13","5","104.01","104.019","null","309.9"
"83","14","40","103.752","104.074","null","313.9"
"83","15","4","103.674","104.759","null","319.8"
"83","16","33","104.489","null","null","312.5"
"83","17","38","104.496","null","null","304.3"
"83","18","19","105.541","null","null","307.6"
"83","19","39","117.354","null","null","300"
"83","20","22","null","null","null","299"
"84","1","1","77.633","77.166","76.173","322.5"
"84","2","15","77.674","77.111","76.213","322.3"
"84","3","12","77.031","76.802","76.305","323.5"
"84","4","11","77.483","77.071","76.612","319.3"
"84","5","27","77.411","77.266","76.816","318.2"
"84","6","2","77.623","77.638","76.818","318"
"84","7","4","78.169","77.618","77.676","321"
"84","8","5","78.276","78.1","77.721","313.8"
"84","9","25","78.48","77.803","77.79","314.6"
"84","10","22","78.305","77.699","77.835","321.9"
"84","11","33","78.885","78.323","null","312.3"
"84","12","38","78.55","78.463","null","321.1"
"84","13","34","78.813","78.696","null","324.7"
"84","14","40","78.661","78.91","null","320.1"
"84","15","16","78.74","79.098","null","326"
"84","16","7","78.923","null","null","309.8"
"84","17","19","79.493","null","null","320.6"
"84","18","41","79.695","null","null","322"
"84","19","36","80.225","null","null","318.5"
"84","20","39","null","null","null","null"
"85","1","2","72.013","71.278","70.81","285"
"85","2","12","72.415","71.518","71.039","288.9"
"85","3","1","72.46","71.584","71.232","288.7"
"85","4","11","72.639","71.391","71.266","289.6"
"85","5","15","72.434","72.002","71.441","286.9"
"85","6","34","73.028","72.188","72.061","286.7"
"85","7","5","72.657","72.269","72.11","283.6"
"85","8","25","72.95","72.286","72.13","287.6"
"85","9","16","72.848","72.194","72.154","285.7"
"85","10","38","72.941","72.313","72.221","282.1"
"85","11","7","73.065","72.411","null","287"
"85","12","33","72.463","72.44","null","284.2"
"85","13","41","72.706","72.521","null","285.5"
"85","14","40","72.829","72.714","null","287"
"85","15","22","72.93","72.728","null","286"
"85","16","39","73.179","null","null","282.5"
"85","17","19","73.265","null","null","284.8"
"85","18","36","73.323","null","null","285.3"
"85","19","4","73.393","null","null","284.9"
"85","20","27","null","null","null","null"
"86","1","12","71.71","71.524","70.764","326.4"
"86","2","15","71.95","71.514","70.857","326.2"
"86","3","27","72.008","71.472","70.937","324.1"
"86","4","1","71.835","71.74","70.996","324.5"
"86","5","11","71.725","71.62","71.095","325.6"
"86","6","2","72.459","71.434","71.116","324.6"
"86","7","7","72.795","71.916","71.973","326.2"
"86","8","34","72.577","72.141","72.084","327"
"86","9","25","72.689","72.097","72.168","325.7"
"86","10","16","72.702","72.395","72.671","328.1"
"86","11","4","72.68","72.606","null","325.4"
