id,temp,feels_like,humidity,clouds,wind_speed,main,description,icon,date,lat,long,locality,country,season,round
52,88,90,45,0,2.06,Clear,Clear Sky,01d,2016-09-04,45.6156,9.28111,Monza,Italy,2016,14
53,88,98,66,75,2.1,Rain,Light Rain,10n,2016-09-18,1.2914,103.864,Marina Bay,Singapore,2016,15
54,93,101,52,75,5.14,Clouds,Broken Clouds,04d,2016-10-02,2.76083,101.738,Kuala Lumpur,Malaysia,2016,16
55,72,72,58,95,6.7,Clouds,Overcast Clouds,04d,2016-10-09,34.8431,136.541,Suzuka,Japan,2016,17
56,80,80,40,75,5.7,Clouds,Broken Clouds,04d,2016-10-23,30.1328,-97.6411,Austin,USA,2016,18
57,68,66,42,75,2.6,Clouds,Broken Clouds,04d,2016-10-30,19.4042,-99.0907,Mexico City,Mexico,2016,19
58,66,66,88,100,4.12,Rain,Light Rain,10d,2016-11-13,-23.7036,-46.6997,Sao Paulo,Brazil,2016,20
59,81,82,51,0,5.14,Clear,Clear Sky,01d,2016-11-27,24.4672,54.6031,Abu Dhabi,UAE,2016,21
60,77,77,62,0,5.7,Clear,Clear Sky,01d,2017-03-26,-37.8497,144.968,Melbourne,Australia,2017,1
61,55,55,93,100,6,Mist,Mist,50d,2017-04-09,31.3389,121.22,Shanghai,China,2017,2
62,76,77,75,0,10.62,Clear,Clear Sky,01d,2017-04-16,26.0325,50.5106,Sakhir,Bahrain,2017,3
63,68,66,41,20,4,Clouds,Few Clouds,02d,2017-04-30,43.4057,39.9578,Sochi,Russia,2017,4
64,76,75,44,20,5.7,Clouds,Few Clouds,02d,2017-05-14,41.57,2.26111,Montmelo,Spain,2017,5
65,72,72,69,20,3.1,Clouds,Few Clouds,02d,2017-05-28,43.7347,7.42056,Monte-Carlo,Monaco,2017,6
66,83,83,49,100,9.8,Clouds,Overcast Clouds,04d,2017-06-11,45.5,-73.5228,Montreal,Canada,2017,7
67,79,79,54,20,5.7,Clouds,Few Clouds,02d,2017-06-25,40.3725,49.8533,Baku,Azerbaijan,2017,8
68,81,81,40,40,5.14,Clouds,Scattered Clouds,03d,2017-07-09,47.2197,14.7647,Spielberg,Austria,2017,9
69,70,70,80,92,5.11,Clouds,Overcast Clouds,04d,2017-07-16,52.0786,-1.01694,Silverstone,UK,2017,10
70,85,84,37,0,3.1,Clear,Clear Sky,01d,2017-07-30,47.5789,19.2486,Budapest,Hungary,2017,11
71,72,72,64,40,2.06,Clouds,Scattered Clouds,03d,2017-08-27,50.4372,5.97139,Spa,Belgium,2017,12
72,73,71,34,0,1.03,Clear,Clear Sky,01d,2017-09-03,45.6156,9.28111,Monza,Italy,2017,13
