season,date,location,race_id,circuitName,weather,lat,long,name,status
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Lewis Hamilton,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Daniel Ricciardo,DNF
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Kevin Magnussen,DNF
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Fernando Alonso,DNF
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Nico Hulkenberg,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Daniil Kvyat,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Felipe Massa,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Kimi Raikkonen,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Sebastian Vettel,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Valtteri Bottas,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Sergio Perez,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Marcus Ericsson,DNF
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Romain Grosjean,DNF
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Carlos Sainz Jnr,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Max Verstappen,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Jolyon Palmer,DNF
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Stoffel Vandoorne,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Esteban Ocon,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Antonio Giovinazzi,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,Lance Stroll,DNF
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Lewis Hamilton,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Daniel Ricciardo,DNF
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Kevin Magnussen,DNF
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Fernando Alonso,DNF
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Nico Hulkenberg,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Daniil Kvyat,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Felipe Massa,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Kimi Raikkonen,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Sebastian Vettel,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Valtteri Bottas,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Sergio Perez,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Marcus Ericsson,DNF
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Romain Grosjean,DNF
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Carlos Sainz Jnr,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Max Verstappen,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Jolyon Palmer,DNF
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Stoffel Vandoorne,F
2017,2017-03-26,Melbourne,60,Albert Park Grand Prix Circuit,partly cloudy 17.5°c  (63.5°f) air temperature 34.5°c  (94.5°f) track temperature 6m/s  (20ft/s) wind from the south ,-37.8497,144.968,Esteban Ocon,F
