id,temp,feels_like,humidity,clouds,wind_speed,main,description,icon,date
89,83,82,41,6,3.37,Clear,Clear Sky,01d,7/8/2018
90,77,77,47,40,3.1,Clouds,Scattered Clouds,03d,7/22/2018
91,89,90,43,0,2.6,Clear,Clear Sky,01d,7/29/2018
92,62,60,41,100,4,Clouds,Overcast Clouds,04d,8/26/2018
93,69,69,86,40,4.12,Clouds,Scattered Clouds,03d,9/2/2018
94,84,89,65,75,3.1,Clouds,Broken Clouds,04n,9/16/2018
95,72,72,61,100,2,Clouds,Overcast Clouds,04d,9/30/2018
96,81,82,53,24,5.1,Clouds,Few Clouds,02d,10/7/2018
97,70,68,38,38,3.1,Clouds,Scattered Clouds,03d,10/21/2018
98,66,65,52,75,1.54,Clouds,Broken Clouds,04d,10/28/2018
99,78,79,69,75,6.7,Rain,Light Rain,10d,11/11/2018
100,92,92,36,40,5.14,Clouds,Scattered Clouds,03d,11/25/2018
101,77,77,58,0,6.2,Clear,Clear Sky,01d,3/17/2019
102,76,77,65,90,11.57,Clouds,Overcast Clouds,04n,3/31/2019
103,71,69,37,0,7,Rain,Heavy Intensity Rain,10d,4/14/2019
104,60,58,46,0,8.8,Clear,Clear Sky,01d,4/28/2019
105,66,65,58,20,5.7,Clouds,Few Clouds,02d,5/12/2019
106,66,66,73,75,3.1,Rain,Light Rain,10d,5/26/2019
107,84,81,17,0,5.14,Clear,Clear Sky,01d,6/9/2019
108,79,79,51,45,2.97,Clouds,Scattered Clouds,03d,6/23/2019
109,90,86,21,20,4.6,Clouds,Few Clouds,02d,6/30/2019
110,67,67,69,100,2.48,Clouds,Overcast Clouds,04d,7/14/2019
111,71,71,72,75,3.6,Thunderstorm,Thunderstorm,11d,7/28/2019
112,77,76,44,0,3.6,Clear,Clear Sky,01d,8/4/2019
113,63,62,69,40,3,Clouds,Scattered Clouds,03d,9/1/2019
114,67,67,61,29,0.89,Clouds,Scattered Clouds,03d,9/8/2019
115,86,95,71,75,6.2,Haze,Haze,50n,9/22/2019
116,72,72,64,40,4.02,Clouds,Scattered Clouds,03d,9/29/2019
117,74,74,52,0,8.2,Clear,Clear Sky,01d,10/13/2019
118,73,72,46,75,3.1,Rain,Light Rain,10d,10/27/2019
119,72,70,24,20,4.6,Clouds,Few Clouds,02d,11/3/2019
120,68,68,64,40,7.2,Clouds,Scattered Clouds,03d,11/17/2019
121,81,81,47,0,4.6,Clear,Clear Sky,01d,12/1/2019
