id,temp,feels_like,humidity,clouds,wind_speed,main,description,icon,date
88,70,69,49,20,4.12,Clouds,Few Clouds,02d,2018-07-01
89,83,82,41,6,3.37,Clear,Clear Sky,01d,2018-07-08
90,77,77,47,40,3.1,Clouds,Scattered Clouds,03d,2018-07-22
91,89,90,43,0,2.6,Clear,Clear Sky,01d,2018-07-29
92,62,60,41,100,4.0,Clouds,Overcast Clouds,04d,2018-08-26
93,69,69,86,40,4.12,Clouds,Scattered Clouds,03d,2018-09-02
94,84,89,65,75,3.1,Clouds,Broken Clouds,04n,2018-09-16
95,72,72,61,100,2.0,Clouds,Overcast Clouds,04d,2018-09-30
96,81,82,53,24,5.1,Clouds,Few Clouds,02d,2018-10-07
97,70,68,38,38,3.1,Clouds,Scattered Clouds,03d,2018-10-21
98,66,65,52,75,1.54,Clouds,Broken Clouds,04d,2018-10-28
99,78,79,69,75,6.7,Rain,Light Rain,10d,2018-11-11
100,92,92,36,40,5.14,Clouds,Scattered Clouds,03d,2018-11-25
101,77,77,58,0,6.2,Clear,Clear Sky,01d,2019-03-17
102,76,77,65,90,11.57,Clouds,Overcast Clouds,04n,2019-03-31
103,71,69,37,0,7.0,Rain,Heavy Intensity Rain,10d,2019-04-14
104,60,58,46,0,8.8,Clear,Clear Sky,01d,2019-04-28
105,66,65,58,20,5.7,Clouds,Few Clouds,02d,2019-05-12
106,66,66,73,75,3.1,Rain,Light Rain,10d,2019-05-26
107,84,81,17,0,5.14,Clear,Clear Sky,01d,2019-06-09
108,79,79,51,45,2.97,Clouds,Scattered Clouds,03d,2019-06-23
109,90,86,21,20,4.6,Clouds,Few Clouds,02d,2019-06-30
110,67,67,69,100,2.48,Clouds,Overcast Clouds,04d,2019-07-14
111,71,71,72,75,3.6,Thunderstorm,Thunderstorm,11d,2019-07-28
112,77,76,44,0,3.6,Clear,Clear Sky,01d,2019-08-04
113,63,62,69,40,3.0,Clouds,Scattered Clouds,03d,2019-09-01
114,67,67,61,29,0.89,Clouds,Scattered Clouds,03d,2019-09-08
115,86,95,71,75,6.2,Haze,Haze,50n,2019-09-22
116,72,72,64,40,4.02,Clouds,Scattered Clouds,03d,2019-09-29
117,74,74,52,0,8.2,Clear,Clear Sky,01d,2019-10-13
118,73,72,46,75,3.1,Rain,Light Rain,10d,2019-10-27
119,72,70,24,20,4.6,Clouds,Few Clouds,02d,2019-11-03
120,68,68,64,40,7.2,Clouds,Scattered Clouds,03d,2019-11-17
121,81,81,47,0,4.6,Clear,Clear Sky,01d,2019-12-01
